Id	Length	HS	PT	GG	NL	#1#
ENST00000202556	1055	626	622	636	70,84,91,371,427,442,616,670,732,801,993	
ENST00000389175	475	217,458	243,438	81,464	11,14,29,31,46,60,70,103,104,126,131,137,151,179,198,200,225,301,330,346,353,360,365,375,381,382,388,399,417,420,423,452	
ENST00000355086	1085		823,843		454,603,1006,1069	
ENST00000262198	1086		643	258,321	21,22,95,173,235,246,247,260,285,464,630,632,755,906,909,912,920,924,985	529
ENST00000395547	1056		176	474	22,570,575,585	710
ENST00000599117	985				17	
ENST00000558726	1100	80,810,893,950,983,1012,1099	457,761,805,1026,1030,1056,1077	14,192,309,762,782,882,957	814,839,866,884,984,987,1009,1020,1021,1057,1075	491
ENST00000324659	1077	143,363,811	598,737	76,79,260,370,373	21,67,72,73,108,137,170,228,336,377,500,509,589,593,608,639,669,768,775,795,864,880,1054	729,973
ENST00000646708	1092	206,1090	134,731	66,180,207,217,917	102,107,159,212,443,478,630,871,914,916,964,965	
ENST00000550104	1086			451,681	51,56	599
ENST00000264663	1086	108	802	311	37,59,81,564,612,957	
ENST00000328771	1062	885,890,926,1025	10,29,625,769	46,127,706,712,715,776,858	74,114,122,157,176,296,347,398,616,680,719,771,782,794,845,866,886,1015	892,973
ENST00000255194	1045	238,536,801,923	682	355,524,576,680,993	221,318,721,739,950	
ENST00000379999	1043	69,111,114,187,620,637	37,139	92,170,191	52,68,81,110,125,134,328,344,430,766,803	56
ENST00000269499	857	457		198,300,781,788	4,389,774	148
ENST00000444310	1070	229,348,611,876,889,977,1028	12,55,173,208,216,258,312,572,587,655,675,998,1003,1010,1061	15,18,138,183,210,213,235,270,281,357,363,379,404,416,417,477,521,556,694,699,811,835,867,946,1019	58,74,163,176,217,225,252,262,293,321,345,350,372,397,407,409,422,454,461,462,471,482,492,523,535,536,547,578,593,602,615,625,626,650,651,670,690,704,707,809,813,837,923,959,964,973,995,1007,1020,1032,1036,1053,1056,1058,1060	292,955
ENST00000507866	936	203,556	506,832,843	162,599,678,856,910	179,191,330,498,579,606,708,811	165,561,663
ENST00000646012	1046	24,905	372,680,687,795	97,355,551	9,37,52,158,552,667,830,900,929	
ENST00000348165	1060		157	445	86,104,266,289,663,671	
ENST00000357702	1083			900	789,804	
ENST00000371959	1082			939	7,934,955,962,1013,1040	
ENST00000273261	1073	819,1010	41,125,489	71,579,885,939,1055	8,13,134,264,362,425,441,681,697,716,743,764,851,859,892,904,905,924,937,941,962,992,1008,1021,1030,1034,1048,1053	23
ENST00000433566	1081	620				
ENST00000409606	1086			635,692,751,824	25,114,502,605,807	861,1026
ENST00000257981	1020	967	725,854	196	321,727,794,804,811,830,849,928	
ENST00000265742	1083	923	958	957	892	
ENST00000523189	1088	478,541,605,764	106,1083	137,167,542	20,33,200,250,458,491,653,655,656,959,1073	
ENST00000344836	1077	29	2			
ENST00000373448	1089	347,678,798,1017	221,268,315,727,791,849	525,881,975	112,220,254,282,352,371,450,465,505,680,840,1055	909
ENST00000255304	1091	35,134,224,283,345,531,867,949,1010	260,729,854	557,843	5,42,44,51,101,138,172,178,187,209,216,290,435,446,458,501,588,624,625,649,657,668,681,707,711,716,810,840,862,878,880,909,915,925,962,993	
ENST00000378617	1089	92,1003	978,1001	11,49,384,816	95,306,316,345,372,455,480,545,581,672,734,879,1006	485
ENST00000281129	1091	121,803,960,1033,1056,1090	29,494,661,776,890,993,997,1002	240,321,336,585,590,664	266,351,457,565,620,724,781,844,990,1075	746
ENST00000381916	969	848		776,921	34,37,40,63,536,539,543,571,575,580,612,630,644,651,654,660,670,685,688,715,898,917,951	481
ENST00000341928	1087	38,494	63,526,555,852,861,876,900	751,848,866,926,935	518,537,550,557,610,841,882,885,906,919,994	
ENST00000265748	1088	185,768	138,494,533	89,192,204,510,662,893	113,132,139,160,187,265,311,349,368,483,709,782,821,932	273,507
ENST00000295488	1085	306,930	61,90,137,235,295,342,931	132,218,294,686	4,84,89,201,243,252,381,462,549,716,924,971,1028	100,271,788
ENST00000639885	888	40,187,524	183,585	743	124,253,278,364,469,526,599,813,830	
ENST00000377307	1005	25,612,627		180,590	95,96,147,185,477,500	
ENST00000395125	1020			1009	514	
ENST00000373054	1074	553,653,801		721	256,477,544,579,608,646,661,681,691,724,728,883,918,919,960	943
ENST00000261892	881	75,266,302,313,699,728	87,162	13,213,381,400,413	68,78,86,146,167,201,249,270,276,282,304,358,363,375,389,404,416,419,626,644	459
ENST00000633794	949	8		729	456,597	
ENST00000310677	964		556,566,851	500,664	9,44,91,102,111,404,502,609	
ENST00000412096	984	68,154,771	93,982	739,744,777	7,14,40,49,96,142,145,168,198,265,289,389,403,465,478,505,518,593,634,843,899,927,958	
ENST00000299481	1084	48,128,174,204,248,249,375,454,681	197,223,279,362,650	133,146,246,324,349,396,462,881	93,101,120,157,211,297,307,311,323,411,414,461,524,556,585,595,601,644,834,854	497
ENST00000503462	1073			144	158,317,637,747	
ENST00000003302	1056	542	480	133,373	460,491,641,643,698,751,760	
ENST00000456909	1046	10,372,499,644,705	130,271,469,791,842	4,279,407,471,669	11,65,68,282,297,328,377,386,404,409,438,458,462,479,493,511,524,550,559,730,780,792,903,934,945	962
ENST00000298310	1006		268,684	139	3,69,177,178,203,613,673,674,681,768,792,874	
ENST00000345617	1013	4,5,316,374,564	33,789	743,964	500,512,552,963,967	550
ENST00000498619	1078	754,955,1011,1076	381,441,786	939	382,498,926,1023,1026,1040	
ENST00000265069	1028	415		56	327,435,471,510	
ENST00000247815	1087	191,529,809,969	238,297	351,439,440,830,1024	38,42,59,63,66,109,142,198,210,308,321,324,373,410,424,467,569,732,770,796,817,824,993,1012,1053	6,140,182,966
ENST00000401558	1055		1024		672,701,717	
ENST00000630715	1085	335,352,566,632,772,776,1038	811,919	101,354,588,693,733,819,929	13,15,23,34,219,223,233,265,328,331,513,596,654,678,731,751,779,781,798,814,823,829,847,888,891,892,894	
ENST00000298892	1069	54	46,425	315,571,576	2,7,18,148,164,230,418,428,468,590,592,664,727	
ENST00000354464	966	176,231,265,805	229,238,351,473,725	159,380,398,646,928	41,44,45,124,190,227,378,408,453,595,619,677,680,694,695,795,851,941,962	
ENST00000372190	994	223,815,949	275,433		468,532,898,901,902	
ENST00000547588	1048	140,884	660	114,131,163,244,402	9,29,126,143,188,192,195,201,211,217,258,676,681	
ENST00000240587	1069				467,471,638	
ENST00000373647	1056				462,944	
ENST00000264159	1079	24,546,637,992	117,252,559,885	50,520,724,883	122,140,224,275,282,290,364,499,527,541,551,567,605,613,615,638,655,722,781,850,1033	20,705
ENST00000536845	1073	447	307,585	893	37,93,507,913	425,478
ENST00000366552	1049	357,938	84,199,476,767,935,945,957,1011	533,570,673,726,737,929,1009	15,23,69,220,254,482,549,552,608,629,682,685,707,725,754,760,761,766,894,896,960,964,972,1013	11,747,750,986
ENST00000263967	960		954,956,958			
ENST00000170168	1033	85,109,534,614,642	128,244,272,330,334,539,574	22,35,332,438,536,620,779	51,152,166,225,350,353,371,398,496,528,566,568,603,608,801	
ENST00000543491	935	130,725,736			411,452	
ENST00000299505	1070	671	59,674,774	385,586	70,202,217,223,403,567,604,747,767,867,952,960,966,1029	
ENST00000351298	1074	532,573	821	439,864,975	87,346,398,516,517,527,541,572,583,608,621,673,940,971,1024	41,944,953
ENST00000334512	1067			360	157,883	
ENST00000481273	1078	212,247,478,490,1073	121,442	96,151,157,160,789,911,948,1072	21,25,33,38,41,306,319,388,421,440,797,887,1029,1050,1054	
ENST00000458659	1071	225,880	273,293,315,920	332,338,650	61,72,250,286,314,372,379,388,465,573,590,762,821,893,1069	348,715
ENST00000394697	880	437,551	624	114,843	72,92,103,351,467,492,497,538,553,620,751,752	446,447
ENST00000580243	1072	661,729	62,179,594,1000	380,497,591,603,678,724	44,135,160,166,372,486,519,668,705,715	
ENST00000263666	1029	70,294	775	74		
ENST00000434735	1068	132,341,346		117	73,121,294,417,811	
ENST00000338086	1047	35			354,535	
ENST00000441542	1066	580	296,623,723	437,626		
ENST00000431736	1065	961	214,253		603	334
ENST00000274030	1072	127,261,573,901	354,555,602,870,1033	286,616,931,1059	379,393,476,477,489,499,553,586,728,736,788,806,844,861,885,899,903,904,959,1000,1013	
ENST00000651059	1019	924	905	88,969	5,87,121,209,273,352,616,896	206
ENST00000445964	1027		143,824,886	398,739,767,911	72,144,169,378,499,500,651,718,804,828,839,848,863,967	
ENST00000309042	1081	98,132,499,527,636,648,680,682,746	27,446,747,754,798,1025	204,613,651,668,763,768,940	17,485,529,558,630,661,672,684,718,761,784,843,874,886,903,912,913,926,948,950,957	626
ENST00000007722	1006	71,434,702,874	243,314,716,963	37,616	4,27,213,217,218,301,401,661,682,740,745,798,814,894,1004	
ENST00000372396	1015	482	481,561	31,328,380	361,419,567,625,827,838,839,841	
ENST00000373664	1066	240,424,735,950			5,245,413,522,611,691,958	
ENST00000448223	1063			466,737	313,393,426,470,474,519,556,646,649,652,664,730,758,799,800,880	
ENST00000418342	1076	317,546,594,727,868,944,969	304,567,710,755	387,534,635,812,935,938	385,492,640,893,912,930,949,1016,1057,1062	592,595,609
ENST00000287380	1066	842		37,86,554,868,874,975	55,72,166,335,364,368,386,449,612,616,620,692,716,735,764,766,788,808,925,954,955,1041	
ENST00000219611	565		133	124,169,186,280,307,310,370,544	6,10,83,115,140,332,376	
ENST00000316843	918	148,220,850	394	35,126	85,92,149,184,299,352,439,528,879,886	
ENST00000335185	1069	646,741,863,988	235,523,547,635,1006,1067	53,78,345,593,647,650,804,914,946,993,1035	3,96,181,230,272,350,390,398,411,436,458,504,526,566,574,576,611,632,679,691,701,712,736,765,788,795,806,858,959,1011,1061,1065	694,716
ENST00000269392	930	58,68,271,372,462,588	88,237,358,373,427	149,198,467,574,589,723,750	11,16,111,188,195,240,243,284,286,304,314,356,382,411,424,429,440,535,543,546,657,787,789,808,809,825,826,871	247
ENST00000649117	1007	205,317,503,627,659	252	253,824	320,401,410,421,480,621,817,942	355
ENST00000294854	1075	71,321,545,670,1048,1071	39,524,632,660,1049	19,159,245,856,972,986,1041	89,91,160,200,202,203,220,222,311,317,332,338,346,362,386,387,414,457,476,509,510,609,618,669,676,705,740,771,779,793,836,942,953,960,984,1006,1062	20,227,333
ENST00000357988	1060	513	601	811	124,565,635,646,853,944,955	
ENST00000262457	1062	796,844	613,720,866	645,761,863,881,897,945	497,639,668,684,714,725,739,749,817,842,857,861,879,954,970	
ENST00000244289	1067	25,100,124,264,275	137,392,978	29,133,298,584,603,894,914,933,1054	8,11,24,49,50,116,274,279,437,531,582,644,661,679,710,938,1060,1065,1066	623,902
ENST00000258349	1045	556		951	599,679,839,875,891	
ENST00000614467	1059	461	450,892	907	459,526,604,833,1000	834,912
ENST00000318184	1049	228,323,399,873	106,133,378,433,671,681,830	37,70,293,298,319,395,414,421,422,724,826,860	47,90,91,93,122,153,203,232,271,286,342,345,349,387,393,404,443,462,479,501,504,507,510,517,528,549,591,600,611,620,704,763,771,783,815,822,854,856,857,875,907,937,938,954,984,992,1000,1012,1023	363,788
ENST00000261574	1052			985	811	
ENST00000565683	927	553	218,568	824	44,151,317,443,444,545,552,678,726,831,850,853	
ENST00000326756	1073	105,123,515,522,564,716,804	119,380,619,627,818,839,843,1021	114,121,409,509,545,583,720,855,873	36,92,127,147,187,242,377,434,525,558,567,592,684,722,732,763,765,784,800,816,854,858,890,915	536,559,836
ENST00000264613	1037	544,889	735	390,435,513,643	367,436,494,500,566,732,832,880	13
ENST00000274487	1059	219,468,516,562,908		237,483	273,775	808
ENST00000541562	1010		289,346,727,870	50,404,686	12,57,67,103,107,246,300,385,441,476,569,575,672,731,789,830,972,993	
ENST00000377351	1001	260,733,820		284	311,319,381,480	
ENST00000395198	1049	394,801		36,347	35,119,188,569,607	
ENST00000455480	683	200,216	8	255	11,43,103,113,130,156,164,184,209,220,223,228,271,304,380,381,397,452,492,555,588,610,646,664,682	597
ENST00000311519	991	109,316,322,790,972	44,58,152,211,279,347,427,448,555,944,950	43,46,63,225,232,262,326,362,451,511,607,669,723,742,884,949	14,18,28,35,49,68,76,82,169,172,298,309,335,367,376,397,402,433,441,460,516,542,622,649,650,660,745,749,757,777,882,889,916,939,946,963,970	142,551,954
ENST00000283131	1052		37		24,61	
ENST00000401095	724	132,182,239,652,668,683	185,216,357,365,568,670	126,168,213,338,430,584,614	23,55,117,130,169,199,274,293,310,349,364,450,451,536,566,635,636,698,704	180
ENST00000590151	957		129,646	97	546	
ENST00000394780	1044	469,628,763,859	135,677,723,732,804	132,1034	16,110,425,459,685,695,710,718,772,776,921,939,1015	1029
ENST00000343411	1052	929	721	876,900	16,387	
ENST00000373631	926	145,233,512,583,611	316,502,705,776,780,790	9,412	13,14,31,87,212,253,254,256,258,259,269,282,299,310,311,318,378,402,443,445,463,476,486,534,549,632,677,683,696,708,716,787,797,856	403
ENST00000381309	1056	393,561	24,437,494,735	404,454,739	385,401,415,420,428,436,441,481,493,503,554,869	512
ENST00000650760	672	340,499,670	263	270,283,312,444	32,367,416,434,458,511,512,560,640	278,357
ENST00000409790	1017	16,904		384,882	200,201,353,575,613,624,876,937,951,991,1002,1012,1014,1015	
ENST00000322244	1052	563,774,1016	5,12	886	7,9,97,255,306,318,462,548,712,845,846,871,889,912,939	
ENST00000391773	1059	172,269,533,654,986	16,270,306,469,504,624,682	203,385,796,967,1039,1047	3,5,35,50,80,100,105,106,230,251,262,283,380,394,449,489,534,585,593,652,669,694,786,822,853,855,857,858,872,897,907,910,933,953,954,969,973	
ENST00000637795	486	223,469	267		93,131,139,247,330,387,419	
ENST00000424189	1026	42,442		665,703	12,33	
ENST00000265140	1058	288,317,325,424,743,762,1045	5,87,133,516,535,544	320,553,975	99,157,175,217,221,225,257,262,266,290,301,304,434,605,639,728,761,817,973,1013,1042,1052,1055	653
ENST00000216297	1047				181	
ENST00000342694	1021		22,58,721		701,729	
ENST00000234170	1051	4,99,211	102,203,645,877,905,928,994	446,510,653,912	29,77,97,125,163,175,329,438,467,475,633,668,929,942,1005	307
ENST00000378076	1045	30,851,964,976	543,566,771,1030	33,65,69,88,389,431,447,549,564,600,604,877,920	36,54,100,232,273,310,483,493,518,612,767,852,891	
ENST00000257414	1047		379,753	918	474,543,585,936	
ENST00000312938	1048	355,1046		423,438,440,480,518	394,435,453,476,477	
ENST00000599848	978				244	
ENST00000438132	994	5,60,199		9,55,167	3,11,12,15,37,39,42,47,64,176,181,193,313,701,783	46
ENST00000600377	1020	206,546,835,849	190,556,842		217,251,252,566,649,658,690,736,755,759,792,793	636
ENST00000217086	1053	125,132,314,528,833	516	68,468,680	26,128,148,163,350,376,378,461,465,682,856,860,952,1012,1034,1037	502
ENST00000274376	1047	70,124	93	80	57,846	
ENST00000306065	1050	222,426,472,657	617,664,907	231,633	20,206,258,343,360,488,616,770,882,982,986,1040,1044,1049	
ENST00000646931	1043	97,430	46,232,254,485,711,893	248,405,482,640,966	94,108,117,129,264,345,365,368,473,484,494,505,511,513,530,573,583,584,588,589,592,594,595,606,609,680,732,764,767,789,796,840,841,858,864,992	27,58,60,263,603,642
ENST00000325722	1005	194,951	25	261,589	69,179,214,215,226,250,262,345,650	838
ENST00000628140	1044	176,501		472,777,779,782	279,447,456,465,469,483,495,566	
ENST00000293379	1001		288,949	46,111,332,489,816	12,24,339,719,786,843	
ENST00000265018	952	33,116,355,358,459,554,895,934	359,423,450,638,835,897,924	103,191,660,669,682,907,920	76,173,367,369,398,484,518,519,552,591,619,726,733,740,742	
ENST00000371471	961	639	279,343,354,726	367,633,931	38,117,188,189,209,241,263,409,534,547,655,728,791,833,927	31
ENST00000360538	1044	971,1017	183,453,559,784	551	3,21,464,574,590,738,927,956,1000,1008,1012	
ENST00000268989	811	130	421,597		5,210,379,389,413,502,514,637,687,768	
ENST00000230640	998	119			16,464,468	
ENST00000361565	1041				480	
ENST00000428931	972	366			116,773,844	
ENST00000394095	1050	153,242,342	351,652,708	39,428,616,699	29,41,76,100,214,227,233,239,243,254,259,265,339,388,390,398,402,481,640,680,744,894,912,974	
ENST00000539276	1042	403		642		
ENST00000257215	969		829	814,821		
ENST00000382592	1042	363,1022	251,375,515		34,189,207,291,394,418,503,504,929,983,1027	
ENST00000652847	949	254	694		235,252,670,707,923	
ENST00000604030	981	558,853	215,365,394,395,577,634,979	231,337,594,890,916	2,4,265,359,410,430,480,487,539,578,691,756,822,834,846,917	148
ENST00000376442	1034			46	98,114,338,716	
ENST00000372088	1047	79,166,729,809	304,481,909	757,913	330,371,387,449,621,817,827	829
ENST00000643940	893	12,16,798	494	257,891	81,86,93,111,128,133,246,272,276,580,887	
ENST00000381655	1012				195,421	
ENST00000319004	1000	41,154,167,322,410,450,871,906,985	336,570,617,649,715,766,771	171,198,288,485,710	27,130,174,211,224,229,285,315,340,350,372,480,502,504,566,608,623,867,870,901,937,956,998	111,770
ENST00000276480	1047	41,536	166,185,189	49,257,484,682	36,126,183,266,267,293,490,524,663,690,899	67,88,145
ENST00000382496	1041			20,422	21,269,299,321,401,536,553,705,826,1004	
ENST00000360639	1036	364,752,934,982,1021	39,162,279,342,381,436,543	54,380,407,411	27,64,86,177,194,211,229,236,277,365,460,492,554,666,803,930,950,962	
ENST00000300119	867	188,286		233,447	210,232,236,294,313,481,535	
ENST00000318967	989			962,963	891,892	
ENST00000374580	819	507	251,492		698	
ENST00000534313	1004			337,369,844	135,501,751,803	465,472
ENST00000256079	1037	129	338	571	669,712,1033	
ENST00000257408	1043	23,175,360,1042	123,164,172	789,873,906	9,85,88,344,353,795,964,968,980,1000	1017
ENST00000622150	1038	575,919	454	403	23,593,787,1030	
ENST00000299440	942	95,385	106,932,933,935,936,938,939,941	48,218,245,350,702	64,70,119,184,194,224,226,256,322,355,823	120
ENST00000366960	1000	830			161,272,292,385,501,555,635,637,644,678,695,754,791,793,809	
ENST00000379510	1003				496,859,869,993	
ENST00000451887	1006	171,294,386,699,734,1001	259,277,352,364,483,538,556,596,636,649,808,822,1002	46,48,60,117,308,312,325,344,388,523,572,582,869,921	4,38,57,93,122,132,135,137,151,175,229,257,282,288,296,299,301,338,339,357,363,367,375,504,505,521,524,566,590,614,652,655,656,672,717,718,724,726,748,754,762,764,780,799,804,811,848,849,855,881,917	542,550,731,997
ENST00000264042	959	16,87,186,374,445,523,700,746	188,228,429,573	106,415,454,943	102,194,376,388,417,423,424,465,494,531,570,615,622,697,767,794,805,806,810,936,951	
ENST00000447906	1027	301	739,867,921	445,485,636,685,711,716,719,735,738,786,798,806,852,947,964,1002	231,232,267,352,509,519,520,723,922	883
ENST00000529637	1034	588	823	798	563	
ENST00000452510	1025				118	
ENST00000435205	1038	484,695,748	675,740,763	55,476,512,698	166,229,566,606,706,708,720,743,791,796,805,816,837,845,986	533,539
ENST00000371497	1019	94	611,615,721,735	595,668	2,98,147,332,464,581,587,640,673,720,730,737,746,769	
ENST00000400191	989	953	529	955	11,416,418,419,421,425,426,947,949	
ENST00000455537	877		678	830	91,622	
ENST00000359983	977	860,974	435,466	16,674,692,713,817	408,461,543,596,683,782,803,953,959	168,401,925
ENST00000507499	979	730	463,783	43,473	371,466,946,968	464,472
ENST00000358465	972	743		21,22,664	10,483,551,938,950	
ENST00000378912	1004	360	96,101,218,389,413,542	117,119,346,512,613,733	152,167,241,321,345,380,385,393,401,416,440,476,494,552,671,776,955,1003	306
ENST00000422611	997		907	33	159,166,262,280,324,871,901	
ENST00000338302	1028	225,480	166,583,941,958	74,307,602,893	8,358,421,675,821,832,838,956	
ENST00000300589	1037	8,317,458,472,648,774,879	144,705,890	584,620,788	19,148,149,242,267,456,523,644,656,730,796,802,964,998,1019	
ENST00000380516	1028				11,12,224,815	
ENST00000651222	966	552		501,605,965	35,37,38,254,431,491,879	365,447
ENST00000218436	1031	100,353,492,560,896	524,803,821,967	3,19,177,178,216,299,332,428,484,572,676,718,740,888,914	30,37,52,134,153,188,201,381,389,437,460,480,539,547,578,585,589,632,755,955,970	
ENST00000264741	1035	262	34,175,261,587	8,110,415,542	11,20,501,527,539,556,621,642,849	417
ENST00000398540	996	173,396,597	551,630,682	220,771	106,169,592,612,658,700,787,916	
ENST00000648651	998	297,381,627,770,801	719	322,707,708,710,711,734,737	214,235,318,774,878,920,937,959	
ENST00000375180	956		797,909	759,874,897	317,447	
ENST00000361328	1043	42,144,192,432,446,462	254,285,612,720	85,142,455,827,872	3,7,37,139,264,342,453,466,582,585,593,615,616,625,644,654,726,876	140,193,363,573
ENST00000273857	1042	13,193,285,524,591,721,903	754	271,568,768,916,921,961	12,24,44,48,64,68,93,97,123,145,148,154,173,187,239,274,283,320,418,420,510,569,677,759,794,886,915,936,975	
ENST00000438925	1030	68,479	578	698	3,25,77,153,389,402,465,542,603,727	
ENST00000264930	1028	164,165,168,169,523	225,855		108,312,316,320,339,345,370,393,728,751,815,974	891
ENST00000305242	988	213,256,424	86,186,207,284,567,654	23,46,197,336,487,702,780	6,20,132,143,144,190,236,240,282,325,337,366,483,523,553,564,776,811,907	36,731
ENST00000262461	1018		116,466,547	190,475	23,40,58,102,103,123,125,555	
ENST00000308284	854	89,405,646,674,769	137,171,513	70,96,101,268,398,443,564,672,719,738,846	14,28,33,40,53,65,66,98,122,184,238,243,244,255,273,416,431,498,601,633,670,691,708,745,795	761
ENST00000408912	753	183	49,343	28,485	4,32,43,81,110,173,184,198,202,205,231,289,420,576,593,709	
ENST00000402685	1035	116,136,154	71,1023	17,119,121,517,798	105,115,134,150,280,325,332,381,578,721,762,783,978	619
ENST00000403263	1027	585				
ENST00000613533	987	149,219,341,688,727,813	212,366,461,745,755,967	54,352,354,357,358,360,387,413,658,756,775,908	29,47,84,160,173,264,436,446,466,468,492,591,616,739,740,753,760,802,860,868,879,895,897,936,945,947,954,980,984	
ENST00000316997	1050	55,208,247,287,371,449,545,717,771,781,791,797,802,805,809,816	313,341,349,650,920,951	32,160,406,622,749,763,970	52,93,104,127,281,335,402,403,448,455,460,567,588,621,628,659,692,898,899,934,960,962,1012,1027,1034	
ENST00000335154	981	10	448	607	125,127,128,130,131,455,980	
ENST00000412359	1016	268,333	358,899		10,245,300,317,450,492,518,534,539,711,736,759,784,787,788,838,853	
ENST00000450689	1029	786,795		920	2,14,56,695,808	
ENST00000361384	1040	55,65,241,263,361	279,337,426,428,529,569,902	111,376,451,503,693,694,721,824,950	48,71,83,105,223,251,264,271,282,313,316,333,368,388,401,420,442,460,473,504,535,544,591,593,597,616,618,638,646,649,708,711,834,919,1002	68
ENST00000359052	1026	301				
ENST00000310903	971	584,950	383	183,248,334,741,780,931	104,107,110,254,292,550,679,716	130,151,228
ENST00000399451	1021		226	683,720		
ENST00000379996	976	905,936	925	533,894	360,536,811,906,913,940,953	
ENST00000280551	1032	97	81	26,52,128,131,157,716,963,973	32,51,54,78,103,110,143,222,342,434,755,901,906,918	
ENST00000673475	1030	19,45,243,390,965	18,293,429,612,915	224	6,7,23,46,52,58,314,379,416,440,442,475,476,479,537,545,616,817,840	
ENST00000397033	1032	48,168,496,612,878	261	564,866,982	470,516,681,706,726,743,754,835,871	554
ENST00000444136	1035	65,100,358,360,458	41,211,247,379	86,105,719,770,844	42,118,119,130,237,256,382,411,441,449,492,552,566,625,680,684,730,746,759,859,904,936,983	979
ENST00000275732	819	90	190,200,637		82,83,367,392,531,547,591	196
ENST00000438926	1002	66,264,835,944	5,406,698,749,889	130,252,665	48,120,259,266,357,394,409,547,666,682,785	795
ENST00000615277	1018			286	453,455,492	
ENST00000254480	969	12,301	182	73,472,922,951	90,458,673,924	
ENST00000377942	928	323,699	76,147,212,679	177,673	6,569,668	695
ENST00000545552	979	825	845,966		742	
ENST00000289153	1013				153,244	
ENST00000377819	1029	106,141,479,668	83,180,360,483,667	374,431,451,499,550,637,819	11,18,133,137,186,219,234,274,278,356,364,384,387,390,408,413,426,437,485,509,517,543,561,585,601,639,684,727,756,761,764,769,796,807,812,820	763
ENST00000261180	1017	12,120		87,108	81,107,134,228,673,776,797	
ENST00000406432	645					
ENST00000338316	856		489	564	392,507,747	
ENST00000360375	1024	60,202,277,311,566,954	139,282,455	41,171,227,323,922	3,9,48,71,138,269,308,348,355,390,462,479,490,519,535,553,571,589,594,599,613,644,696,897,942,950	
ENST00000435224	689	439,473,582,613	555	597	2,4,5,7,9,325,449,658	
ENST00000295598	1019	498		471	996	877
ENST00000264344	1020	256,560	434	245,599	49,151,158,212,255,304,311,314,324,394,417,424,429,451,454,472,489,504,575	
ENST00000649979	976	411,794	5,634,636	248,592,603	20,73,77,80,114,200,258,329,495,575,628,842	
ENST00000268206	955	256	118,159,249,604,753,772	277,380,600	8,18,269,306,324,371,625,632,742,770	
ENST00000223398	1010	36,944	68,422	55,397,421,515,524,632,849,991,1006	37,542,782	216
ENST00000399232	1019	8,52,660		18	20,34,50,427,435	31,46
ENST00000267116	852				294,295,449,802	
ENST00000319212	1007	798	607	818	84,137,385,406,979,984	
ENST00000330574	897	586		516	514,548,789	
ENST00000367240	953	13,54		470,547	217,246,374,463,485,861,896,917	939
ENST00000402280	861	73,634	643	109,159,444,525	33,34,50,64,92,158,248,299,360,515,567,633,712,714,722,734,739,747,755,799,818,826,853	
ENST00000379719	1011		144			
ENST00000619012	1006	423,684	339,926	420	13,303,310,534,905,995	
ENST00000401707	1024	271,719,722	382,753	58,66,378,787,823	36,57,94,102,297,304,318,362,407,477,488,720,725,737,745,780,785,802,845,883,887,907,954,990	829
ENST00000622263	1005	494,553	456,528,529,531,532,915		599,888,891	
ENST00000399583	931	197,198,292,654,695,788,857	162,351,638,822	240,682,760,767,773,776,813,863	105,238,309,442,494,593,600,694,716,717,729,732,740,742,763,823,848,855,878	686,746,765
ENST00000361627	1023	78,309,329,591	246,427	103,884,913	42,71,102,164,299,326,387,462,488,505,538,612,632,651,686,722,731,744,771,783,799,825,858,905,914,948,997	952
ENST00000336314	907	64,391	2,4,7,10,11,147,905		69,136,154,876	
ENST00000324096	879	26,464,719	485	89,783	44,91,115,377,382,421,533,552,725,728,836,846	429
ENST00000343526	997				875,876,878	9,761
ENST00000258787	965	214,471,843	249,449,849		87,288,386,423,649,679,792,876,931,960	407
ENST00000263773	987	611,902		117,338	69,97,132,151,473,702,814,853,870,871	
ENST00000607371	1017	225,311	679,695	857,864	141,148,152,177,324,500,660,732,734	637
ENST00000619208	1008	526,611,631,688,783,817,824,830	515,530,693,760,784,810,818	571,586,831,915	22,155,265,353,445,497,500,690,711,719,727,820,821,893,930,946,947,949,972	403
ENST00000442668	1006	3,171,346,555,587,680,936	94,161,359,386,531,656,893	2,146,362,741,752,768,935,946	20,36,70,78,85,97,137,155,196,256,267,278,280,285,288,358,371,379,381,398,415,424,441,446,449,463,500,514,533,547,560,608,650,729,772,854,864,870,876	213
ENST00000005286	994	116,298,579,772,783,827,947	541,773,908	451	2,5,6,8,10,175,241,398,670,757,775,816,841,854,893,923	568
ENST00000355327	1016	561,598	230	86,202,228,579	7,13,14,39,40,69,85,146,147,150,159,192,208,213,236,251,252,269,433,584	
ENST00000261367	995	964	607,797	158,297,678	2,5,23,152,237,303,331,490,555,599,716,805,967	
ENST00000326495	996	254,438,575,579,796,809,849,933	385,507,811	437,500,619	479,527,537,606,621,670,687,707,782,822,827,833,991	660
ENST00000254691	1037	264,346,382,750,767,805,903,937,1010,1031	683,698,867,869,961	4,126,284,520,574,632,648,810,811,994,1011	102,112,156,163,183,220,268,311,336,360,473,612,665,703,711,715,727,738,760,771,775,807,841,848,875,911,923,967,969,978	185
ENST00000373387	942		505,896	502	158,265,522,683,891	907
ENST00000357447	901		893,894,897,899,900		147,748	
ENST00000361510	887	147,196,205	231,792	64	91,106,193,372,393,396,680,748	
ENST00000366794	948	144	288,642,685,788,903	383,511,738	69,101,161,204,364,369,378,381,654,895,902,917	
